objectId,ramean,decmean,mjdmin,mjdmax,magrmin,rmag,classification
ZTF26aauxmcr,223.6942329,-8.373522599999998,61167.37417820003,61168.338784699794,19.0966,19.3284,SN
ZTF26aauwdrs,224.3364012,8.853182775,61167.246944400016,61168.312650499865,18.8165,19.3169,SN
ZTF26aavburk,183.83482107499998,21.737587075,61167.22126160003,61168.30096059991,20.5015,20.5015,SN
ZTF26aauyzzb,167.1857644,0.45856005,61167.207291699946,61168.19149310002,19.3887,19.3887,SN
ZTF26aauvgeo,192.37124084285713,-11.403529557142857,61167.187349500135,61168.32600690005,18.6105,18.721,SN
